mlbId,LastName,firstInitial
518886,Kimbrel, C
641755,Kinley, T
608349,Knebel, C
592473,Kolarek, A
502004,Kontos, G
607216,Krehbiel, J
596271,Lawrence, C
600917,Leclerc, J
608678,Leone, D
592499,Lewicki, A
641793,Littell, Z
457429,Logan, B
661255,Lopez, Y
571901,Loup, A
572998,Lucas, J
544928,Lyons, T
425492,Madson, R
596027,Maples, D
605359,Marshall, E
455119,Martin, C
664208,Maton, P
543506,Maurer, B
641835,Mayza, T
543508,Mazzoni, C
502083,McAllister, Z
641838,McCarthy, K
607030,McCreery, A
459429,McGee, J
543521,McHugh, C
664682,Meisinger, R
453343,Melancon, M
571948,Milner, H
573668,Minaya, J
621345,Minter, A
519043,Moore, M
605388,Morgan, A
573046,Morin, M
592570,Morris, A
622382,Moya, G
493247,Moylan, P
594943,Neal, Z
450212,Neshek, P
596720,Neverauskas, D
623470,Newberry, J
504379,Nicasio, J
502032,Norris, B
503285,O'Day, D
622217,O'Grady, C
623184,Oberg, S
493200,Oh, S
595345,Okert, S
621397,Olson, T
592612,Osich, J
532077,Osuna, R
519096,Otero, D
493603,Ottavino, A
641941,Pagan, E
623381,Pannone, T
487675,Paredes, E
453284,Parker, B
572021,Pazos, J
641962,Pelham, C
503449,Peralta, W
672335,Perez, C
424144,Perez, O
433589,Petit, Y
623465,Phillips, E
592644,Plutko, A
519141,Pomeranz, D
572044,Pounders, B
596074,Poyner, B
519151,Pressly, R
643493,Pruitt, A
534812,Quackenbush, K
663432,Rainey, T
542432,Ramirez, J
598287,Ramirez, N
573109,Ramos, A
591693,Ramos, E
502051,Ravin, J
592665,Reed, A
643617,Reininger, Z
573113,Renda, T
660875,Reyes, Je
502085,Robertson, D
407845,Rodney, F
475054,Roe, C
573124,Rogers, T
541652,Rondon, B
444468,Rondon, H
573127,Rosscup, Z
592712,Sadzeck, C
650828,Santana, E
608601,Santos, L
582494,Scott, R
656945,Scott, Tan
543766,Shaw, B
642073,Sherfy, J
595411,Sherriff, R
448609,Sipp, T
572143,Smith, B
605476,Smith, C
622098,Smith, D
501925,Smith, J
573166,Smith, M
519293,Smith, W
519294,Smoker, J
462515,Socolovich, M
519301,Solis, S
465657,Soria, J
605488,Springs, J
